Rk,Player,PlayerID,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
82,Nick Collison,collini01,PF,36,OKC,5,0,4.4,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.0,0.0,,0.0,0.4,0.4,1.0,0.0,0.0,0.2,0.6,0.0
83,Mike Conley,conlemi01,PG,29,MEM,17,16,32.2,6.1,13.8,.440,2.5,5.3,.467,3.6,8.5,.424,.530,4.6,5.1,.897,0.4,3.1,3.5,5.7,1.4,0.6,2.3,1.6,19.2
84,Pat Connaughton,connapa01,SG,24,POR,9,0,4.7,0.6,0.8,.714,0.1,0.2,.500,0.4,0.6,.800,.786,0.2,0.3,.667,0.0,0.7,0.7,0.4,0.0,0.1,0.0,0.0,1.4
85,DeMarcus Cousins,couside01,C,26,SAC,21,21,34.4,9.8,21.3,.461,1.8,4.6,.396,8.0,16.7,.479,.503,7.4,9.8,.752,2.4,8.2,10.6,3.4,1.1,1.4,2.7,3.8,28.8
86,Robert Covington,covinro01,SF,26,PHI,20,20,27.7,2.7,8.7,.310,1.9,6.2,.301,0.9,2.6,.333,.417,1.2,1.6,.742,1.1,4.1,5.2,1.1,1.9,0.7,1.7,2.5,8.4
87,Allen Crabbe,crabbal01,SG,24,POR,24,1,28.0,3.3,7.8,.426,1.5,3.8,.391,1.8,4.0,.458,.521,1.5,1.7,.854,0.3,2.6,3.0,1.2,0.5,0.3,0.8,2.1,9.6
88,Jamal Crawford,crawfja01,SG,36,LAC,23,0,25.8,4.3,10.7,.408,1.4,4.1,.337,3.0,6.5,.453,.473,2.3,2.6,.881,0.2,1.4,1.6,2.1,0.7,0.0,1.1,1.3,12.3
89,Jae Crowder,crowdja01,SF,26,BOS,14,14,29.7,4.9,9.9,.496,2.1,5.2,.397,2.9,4.7,.606,.601,1.4,1.5,.905,0.4,4.6,5.1,2.4,1.0,0.4,1.2,2.5,13.3
90,Dante Cunningham,cunnida01,SF,29,NOP,15,10,23.5,2.2,5.6,.393,1.1,2.6,.410,1.1,3.0,.378,.488,0.1,0.3,.400,0.9,3.1,3.9,0.5,0.6,0.7,0.7,1.8,5.6
91,Seth Curry,curryse01,PG,26,DAL,17,6,27.9,4.1,9.6,.421,1.4,4.4,.307,2.7,5.2,.517,.491,0.8,1.1,.778,0.5,2.1,2.5,2.6,1.1,0.2,1.4,1.9,10.3
